,Region,year,value,Age,type
27,Asia and the Pacific,2002,370000,Adults (15-49),New HIV infections
28,Caribbean,2002,20000,Adults (15-49),New HIV infections
29,East and Southern Africa,2002,1100000,Adults (15-49),New HIV infections
30,Eastern Europe and Central Asia,2002,59000,Adults (15-49),New HIV infections
31,Latin America,2002,100000,Adults (15-49),New HIV infections
32,Middle East and North Africa,2002,14000,Adults (15-49),New HIV infections
33,West and Central Africa,2002,270000,Adults (15-49),New HIV infections
34,Western & Central Europe and North America,2002,70000,Adults (15-49),New HIV infections
35,Global,2002,2000000,Adults (15-49),New HIV infections
36,Asia and the Pacific,2003,320000,Adults (15-49),New HIV infections
37,Caribbean,2003,19000,Adults (15-49),New HIV infections
38,East and Southern Africa,2003,1000000,Adults (15-49),New HIV infections
39,Eastern Europe and Central Asia,2003,61000,Adults (15-49),New HIV infections
40,Latin America,2003,97000,Adults (15-49),New HIV infections
41,Middle East and North Africa,2003,14000,Adults (15-49),New HIV infections
42,West and Central Africa,2003,260000,Adults (15-49),New HIV infections
43,Western & Central Europe and North America,2003,72000,Adults (15-49),New HIV infections
44,Global,2003,1900000,Adults (15-49),New HIV infections
45,Asia and the Pacific,2004,320000,Adults (15-49),New HIV infections
46,Caribbean,2004,18000,Adults (15-49),New HIV infections
47,East and Southern Africa,2004,1000000,Adults (15-49),New HIV infections
48,Eastern Europe and Central Asia,2004,64000,Adults (15-49),New HIV infections
49,Latin America,2004,92000,Adults (15-49),New HIV infections
50,Middle East and North Africa,2004,15000,Adults (15-49),New HIV infections
51,West and Central Africa,2004,250000,Adults (15-49),New HIV infections
52,Western & Central Europe and North America,2004,73000,Adults (15-49),New HIV infections
53,Global,2004,1800000,Adults (15-49),New HIV infections
54,Asia and the Pacific,2005,320000,Adults (15-49),New HIV infections
55,Caribbean,2005,17000,Adults (15-49),New HIV infections
56,East and Southern Africa,2005,1000000,Adults (15-49),New HIV infections
57,Eastern Europe and Central Asia,2005,67000,Adults (15-49),New HIV infections
58,Latin America,2005,94000,Adults (15-49),New HIV infections
59,Middle East and North Africa,2005,14000,Adults (15-49),New HIV infections
60,West and Central Africa,2005,240000,Adults (15-49),New HIV infections
61,Western & Central Europe and North America,2005,73000,Adults (15-49),New HIV infections
62,Global,2005,1800000,Adults (15-49),New HIV infections
63,Asia and the Pacific,2006,320000,Adults (15-49),New HIV infections
64,Caribbean,2006,16000,Adults (15-49),New HIV infections
65,East and Southern Africa,2006,980000,Adults (15-49),New HIV infections
66,Eastern Europe and Central Asia,2006,70000,Adults (15-49),New HIV infections
67,Latin America,2006,88000,Adults (15-49),New HIV infections
68,Middle East and North Africa,2006,14000,Adults (15-49),New HIV infections
69,West and Central Africa,2006,240000,Adults (15-49),New HIV infections
70,Western & Central Europe and North America,2006,73000,Adults (15-49),New HIV infections
71,Global,2006,1800000,Adults (15-49),New HIV infections
72,Asia and the Pacific,2007,310000,Adults (15-49),New HIV infections
73,Caribbean,2007,16000,Adults (15-49),New HIV infections
74,East and Southern Africa,2007,970000,Adults (15-49),New HIV infections
75,Eastern Europe and Central Asia,2007,73000,Adults (15-49),New HIV infections
76,Latin America,2007,89000,Adults (15-49),New HIV infections
77,Middle East and North Africa,2007,14000,Adults (15-49),New HIV infections
78,West and Central Africa,2007,230000,Adults (15-49),New HIV infections
79,Western & Central Europe and North America,2007,73000,Adults (15-49),New HIV infections
80,Global,2007,1800000,Adults (15-49),New HIV infections
81,Asia and the Pacific,2008,310000,Adults (15-49),New HIV infections
82,Caribbean,2008,15000,Adults (15-49),New HIV infections
83,East and Southern Africa,2008,950000,Adults (15-49),New HIV infections
84,Eastern Europe and Central Asia,2008,77000,Adults (15-49),New HIV infections
85,Latin America,2008,88000,Adults (15-49),New HIV infections
86,Middle East and North Africa,2008,14000,Adults (15-49),New HIV infections
87,West and Central Africa,2008,230000,Adults (15-49),New HIV infections
88,Western & Central Europe and North America,2008,74000,Adults (15-49),New HIV infections
89,Global,2008,1800000,Adults (15-49),New HIV infections
90,Asia and the Pacific,2009,300000,Adults (15-49),New HIV infections
91,Caribbean,2009,15000,Adults (15-49),New HIV infections
92,East and Southern Africa,2009,930000,Adults (15-49),New HIV infections
93,Eastern Europe and Central Asia,2009,81000,Adults (15-49),New HIV infections
94,Latin America,2009,89000,Adults (15-49),New HIV infections
95,Middle East and North Africa,2009,14000,Adults (15-49),New HIV infections
96,West and Central Africa,2009,230000,Adults (15-49),New HIV infections
97,Western & Central Europe and North America,2009,72000,Adults (15-49),New HIV infections
98,Global,2009,1700000,Adults (15-49),New HIV infections
99,Asia and the Pacific,2010,300000,Adults (15-49),New HIV infections
100,Caribbean,2010,15000,Adults (15-49),New HIV infections
101,East and Southern Africa,2010,920000,Adults (15-49),New HIV infections
102,Eastern Europe and Central Asia,2010,85000,Adults (15-49),New HIV infections
103,Latin America,2010,90000,Adults (15-49),New HIV infections
104,Middle East and North Africa,2010,14000,Adults (15-49),New HIV infections
105,West and Central Africa,2010,220000,Adults (15-49),New HIV infections
106,Western & Central Europe and North America,2010,69000,Adults (15-49),New HIV infections
107,Global,2010,1700000,Adults (15-49),New HIV infections
108,Asia and the Pacific,2011,300000,Adults (15-49),New HIV infections
109,Caribbean,2011,15000,Adults (15-49),New HIV infections
110,East and Southern Africa,2011,890000,Adults (15-49),New HIV infections
111,Eastern Europe and Central Asia,2011,90000,Adults (15-49),New HIV infections
112,Latin America,2011,93000,Adults (15-49),New HIV infections
113,Middle East and North Africa,2011,14000,Adults (15-49),New HIV infections
114,West and Central Africa,2011,220000,Adults (15-49),New HIV infections
115,Western & Central Europe and North America,2011,68000,Adults (15-49),New HIV infections
116,Global,2011,1700000,Adults (15-49),New HIV infections
117,Asia and the Pacific,2012,300000,Adults (15-49),New HIV infections
118,Caribbean,2012,14000,Adults (15-49),New HIV infections
119,East and Southern Africa,2012,860000,Adults (15-49),New HIV infections
120,Eastern Europe and Central Asia,2012,96000,Adults (15-49),New HIV infections
121,Latin America,2012,95000,Adults (15-49),New HIV infections
122,Middle East and North Africa,2012,14000,Adults (15-49),New HIV infections
123,West and Central Africa,2012,220000,Adults (15-49),New HIV infections
124,Western & Central Europe and North America,2012,67000,Adults (15-49),New HIV infections
125,Global,2012,1700000,Adults (15-49),New HIV infections
126,Asia and the Pacific,2013,300000,Adults (15-49),New HIV infections
127,Caribbean,2013,14000,Adults (15-49),New HIV infections
128,East and Southern Africa,2013,820000,Adults (15-49),New HIV infections
129,Eastern Europe and Central Asia,2013,100000,Adults (15-49),New HIV infections
130,Latin America,2013,99000,Adults (15-49),New HIV infections
131,Middle East and North Africa,2013,15000,Adults (15-49),New HIV infections
132,West and Central Africa,2013,210000,Adults (15-49),New HIV infections
133,Western & Central Europe and North America,2013,65000,Adults (15-49),New HIV infections
134,Global,2013,1600000,Adults (15-49),New HIV infections
135,Asia and the Pacific,2014,300000,Adults (15-49),New HIV infections
136,Caribbean,2014,14000,Adults (15-49),New HIV infections
137,East and Southern Africa,2014,790000,Adults (15-49),New HIV infections
138,Eastern Europe and Central Asia,2014,110000,Adults (15-49),New HIV infections
139,Latin America,2014,100000,Adults (15-49),New HIV infections
140,Middle East and North Africa,2014,15000,Adults (15-49),New HIV infections
141,West and Central Africa,2014,200000,Adults (15-49),New HIV infections
142,Western & Central Europe and North America,2014,64000,Adults (15-49),New HIV infections
143,Global,2014,1600000,Adults (15-49),New HIV infections
144,Asia and the Pacific,2015,290000,Adults (15-49),New HIV infections
145,Caribbean,2015,13000,Adults (15-49),New HIV infections
146,East and Southern Africa,2015,750000,Adults (15-49),New HIV infections
147,Eastern Europe and Central Asia,2015,110000,Adults (15-49),New HIV infections
148,Latin America,2015,100000,Adults (15-49),New HIV infections
149,Middle East and North Africa,2015,15000,Adults (15-49),New HIV infections
150,West and Central Africa,2015,200000,Adults (15-49),New HIV infections
151,Western & Central Europe and North America,2015,64000,Adults (15-49),New HIV infections
152,Global,2015,1600000,Adults (15-49),New HIV infections
153,Asia and the Pacific,2016,280000,Adults (15-49),New HIV infections
154,Caribbean,2016,13000,Adults (15-49),New HIV infections
155,East and Southern Africa,2016,720000,Adults (15-49),New HIV infections
156,Eastern Europe and Central Asia,2016,120000,Adults (15-49),New HIV infections
157,Latin America,2016,100000,Adults (15-49),New HIV infections
158,Middle East and North Africa,2016,16000,Adults (15-49),New HIV infections
159,West and Central Africa,2016,190000,Adults (15-49),New HIV infections
160,Western & Central Europe and North America,2016,62000,Adults (15-49),New HIV infections
161,Global,2016,1500000,Adults (15-49),New HIV infections
162,Asia and the Pacific,2017,270000,Adults (15-49),New HIV infections
163,Caribbean,2017,12000,Adults (15-49),New HIV infections
164,East and Southern Africa,2017,690000,Adults (15-49),New HIV infections
165,Eastern Europe and Central Asia,2017,130000,Adults (15-49),New HIV infections
166,Latin America,2017,110000,Adults (15-49),New HIV infections
167,Middle East and North Africa,2017,16000,Adults (15-49),New HIV infections
168,West and Central Africa,2017,190000,Adults (15-49),New HIV infections
169,Western & Central Europe and North America,2017,59000,Adults (15-49),New HIV infections
170,Global,2017,1500000,Adults (15-49),New HIV infections
171,Asia and the Pacific,2018,260000,Adults (15-49),New HIV infections
172,Caribbean,2018,11000,Adults (15-49),New HIV infections
173,East and Southern Africa,2018,640000,Adults (15-49),New HIV infections
174,Eastern Europe and Central Asia,2018,140000,Adults (15-49),New HIV infections
175,Latin America,2018,110000,Adults (15-49),New HIV infections
176,Middle East and North Africa,2018,17000,Adults (15-49),New HIV infections
177,West and Central Africa,2018,180000,Adults (15-49),New HIV infections
178,Western & Central Europe and North America,2018,59000,Adults (15-49),New HIV infections
179,Global,2018,1400000,Adults (15-49),New HIV infections
180,Asia and the Pacific,2019,260000,Adults (15-49),New HIV infections
181,Caribbean,2019,11000,Adults (15-49),New HIV infections
182,East and Southern Africa,2019,610000,Adults (15-49),New HIV infections
183,Eastern Europe and Central Asia,2019,150000,Adults (15-49),New HIV infections
184,Latin America,2019,110000,Adults (15-49),New HIV infections
185,Middle East and North Africa,2019,17000,Adults (15-49),New HIV infections
186,West and Central Africa,2019,180000,Adults (15-49),New HIV infections
187,Western & Central Europe and North America,2019,58000,Adults (15-49),New HIV infections
188,Global,2019,1400000,Adults (15-49),New HIV infections
0,Asia and the Pacific,1999,33000,Childern (0-19),New HIV infections
1,Caribbean,1999,4300,Childern (0-19),New HIV infections
2,East and Southern Africa,1999,310000,Childern (0-19),New HIV infections
4,Latin America,1999,7900,Childern (0-19),New HIV infections
5,Middle East and North Africa,1999,1500,Childern (0-19),New HIV infections
6,West and Central Africa,1999,110000,Childern (0-19),New HIV infections
8,Global,1999,470000,Childern (0-19),New HIV infections
9,Asia and the Pacific,2000,32000,Childern (0-19),New HIV infections
10,Caribbean,2000,4100,Childern (0-19),New HIV infections
11,East and Southern Africa,2000,310000,Childern (0-19),New HIV infections
13,Latin America,2000,8000,Childern (0-19),New HIV infections
14,Middle East and North Africa,2000,1600,Childern (0-19),New HIV infections
15,West and Central Africa,2000,120000,Childern (0-19),New HIV infections
17,Global,2000,480000,Childern (0-19),New HIV infections
18,Asia and the Pacific,2001,31000,Childern (0-19),New HIV infections
19,Caribbean,2001,4000,Childern (0-19),New HIV infections
20,East and Southern Africa,2001,310000,Childern (0-19),New HIV infections
22,Latin America,2001,7900,Childern (0-19),New HIV infections
23,Middle East and North Africa,2001,1700,Childern (0-19),New HIV infections
24,West and Central Africa,2001,120000,Childern (0-19),New HIV infections
26,Global,2001,470000,Childern (0-19),New HIV infections
27,Asia and the Pacific,2002,30000,Childern (0-19),New HIV infections
28,Caribbean,2002,3800,Childern (0-19),New HIV infections
29,East and Southern Africa,2002,310000,Childern (0-19),New HIV infections
31,Latin America,2002,7900,Childern (0-19),New HIV infections
32,Middle East and North Africa,2002,1700,Childern (0-19),New HIV infections
33,West and Central Africa,2002,110000,Childern (0-19),New HIV infections
35,Global,2002,470000,Childern (0-19),New HIV infections
36,Asia and the Pacific,2003,27000,Childern (0-19),New HIV infections
37,Caribbean,2003,3700,Childern (0-19),New HIV infections
38,East and Southern Africa,2003,310000,Childern (0-19),New HIV infections
40,Latin America,2003,7700,Childern (0-19),New HIV infections
41,Middle East and North Africa,2003,1800,Childern (0-19),New HIV infections
42,West and Central Africa,2003,110000,Childern (0-19),New HIV infections
44,Global,2003,470000,Childern (0-19),New HIV infections
45,Asia and the Pacific,2004,26000,Childern (0-19),New HIV infections
46,Caribbean,2004,3400,Childern (0-19),New HIV infections
47,East and Southern Africa,2004,310000,Childern (0-19),New HIV infections
49,Latin America,2004,7300,Childern (0-19),New HIV infections
50,Middle East and North Africa,2004,1800,Childern (0-19),New HIV infections
51,West and Central Africa,2004,110000,Childern (0-19),New HIV infections
53,Global,2004,460000,Childern (0-19),New HIV infections
54,Asia and the Pacific,2005,24000,Childern (0-19),New HIV infections
55,Caribbean,2005,3100,Childern (0-19),New HIV infections
56,East and Southern Africa,2005,300000,Childern (0-19),New HIV infections
58,Latin America,2005,7100,Childern (0-19),New HIV infections
59,Middle East and North Africa,2005,1700,Childern (0-19),New HIV infections
60,West and Central Africa,2005,110000,Childern (0-19),New HIV infections
62,Global,2005,440000,Childern (0-19),New HIV infections
63,Asia and the Pacific,2006,23000,Childern (0-19),New HIV infections
64,Caribbean,2006,2800,Childern (0-19),New HIV infections
65,East and Southern Africa,2006,290000,Childern (0-19),New HIV infections
67,Latin America,2006,6600,Childern (0-19),New HIV infections
68,Middle East and North Africa,2006,1700,Childern (0-19),New HIV infections
69,West and Central Africa,2006,100000,Childern (0-19),New HIV infections
71,Global,2006,430000,Childern (0-19),New HIV infections
72,Asia and the Pacific,2007,22000,Childern (0-19),New HIV infections
73,Caribbean,2007,2400,Childern (0-19),New HIV infections
74,East and Southern Africa,2007,270000,Childern (0-19),New HIV infections
76,Latin America,2007,6200,Childern (0-19),New HIV infections
77,Middle East and North Africa,2007,1700,Childern (0-19),New HIV infections
78,West and Central Africa,2007,97000,Childern (0-19),New HIV infections
80,Global,2007,410000,Childern (0-19),New HIV infections
81,Asia and the Pacific,2008,20000,Childern (0-19),New HIV infections
82,Caribbean,2008,2200,Childern (0-19),New HIV infections
83,East and Southern Africa,2008,250000,Childern (0-19),New HIV infections
85,Latin America,2008,5700,Childern (0-19),New HIV infections
86,Middle East and North Africa,2008,1600,Childern (0-19),New HIV infections
87,West and Central Africa,2008,92000,Childern (0-19),New HIV infections
89,Global,2008,370000,Childern (0-19),New HIV infections
90,Asia and the Pacific,2009,19000,Childern (0-19),New HIV infections
91,Caribbean,2009,2100,Childern (0-19),New HIV infections
92,East and Southern Africa,2009,220000,Childern (0-19),New HIV infections
94,Latin America,2009,5300,Childern (0-19),New HIV infections
95,Middle East and North Africa,2009,1600,Childern (0-19),New HIV infections
96,West and Central Africa,2009,88000,Childern (0-19),New HIV infections
98,Global,2009,340000,Childern (0-19),New HIV infections
99,Asia and the Pacific,2010,19000,Childern (0-19),New HIV infections
100,Caribbean,2010,2200,Childern (0-19),New HIV infections
101,East and Southern Africa,2010,200000,Childern (0-19),New HIV infections
103,Latin America,2010,4800,Childern (0-19),New HIV infections
104,Middle East and North Africa,2010,1600,Childern (0-19),New HIV infections
105,West and Central Africa,2010,83000,Childern (0-19),New HIV infections
107,Global,2010,310000,Childern (0-19),New HIV infections
108,Asia and the Pacific,2011,18000,Childern (0-19),New HIV infections
109,Caribbean,2011,1800,Childern (0-19),New HIV infections
110,East and Southern Africa,2011,160000,Childern (0-19),New HIV infections
112,Latin America,2011,4600,Childern (0-19),New HIV infections
113,Middle East and North Africa,2011,1600,Childern (0-19),New HIV infections
114,West and Central Africa,2011,80000,Childern (0-19),New HIV infections
116,Global,2011,270000,Childern (0-19),New HIV infections
117,Asia and the Pacific,2012,18000,Childern (0-19),New HIV infections
118,Caribbean,2012,1500,Childern (0-19),New HIV infections
119,East and Southern Africa,2012,140000,Childern (0-19),New HIV infections
121,Latin America,2012,4400,Childern (0-19),New HIV infections
122,Middle East and North Africa,2012,1500,Childern (0-19),New HIV infections
123,West and Central Africa,2012,74000,Childern (0-19),New HIV infections
125,Global,2012,240000,Childern (0-19),New HIV infections
126,Asia and the Pacific,2013,18000,Childern (0-19),New HIV infections
127,Caribbean,2013,1200,Childern (0-19),New HIV infections
128,East and Southern Africa,2013,130000,Childern (0-19),New HIV infections
130,Latin America,2013,4200,Childern (0-19),New HIV infections
131,Middle East and North Africa,2013,1500,Childern (0-19),New HIV infections
132,West and Central Africa,2013,66000,Childern (0-19),New HIV infections
134,Global,2013,220000,Childern (0-19),New HIV infections
135,Asia and the Pacific,2014,17000,Childern (0-19),New HIV infections
136,Caribbean,2014,1300,Childern (0-19),New HIV infections
137,East and Southern Africa,2014,120000,Childern (0-19),New HIV infections
139,Latin America,2014,4000,Childern (0-19),New HIV infections
140,Middle East and North Africa,2014,1500,Childern (0-19),New HIV infections
141,West and Central Africa,2014,60000,Childern (0-19),New HIV infections
143,Global,2014,200000,Childern (0-19),New HIV infections
144,Asia and the Pacific,2015,17000,Childern (0-19),New HIV infections
145,Caribbean,2015,1200,Childern (0-19),New HIV infections
146,East and Southern Africa,2015,100000,Childern (0-19),New HIV infections
148,Latin America,2015,4000,Childern (0-19),New HIV infections
149,Middle East and North Africa,2015,1500,Childern (0-19),New HIV infections
150,West and Central Africa,2015,57000,Childern (0-19),New HIV infections
152,Global,2015,190000,Childern (0-19),New HIV infections
153,Asia and the Pacific,2016,16000,Childern (0-19),New HIV infections
154,Caribbean,2016,1200,Childern (0-19),New HIV infections
155,East and Southern Africa,2016,97000,Childern (0-19),New HIV infections
157,Latin America,2016,3800,Childern (0-19),New HIV infections
158,Middle East and North Africa,2016,1400,Childern (0-19),New HIV infections
159,West and Central Africa,2016,53000,Childern (0-19),New HIV infections
161,Global,2016,180000,Childern (0-19),New HIV infections
162,Asia and the Pacific,2017,16000,Childern (0-19),New HIV infections
163,Caribbean,2017,1200,Childern (0-19),New HIV infections
164,East and Southern Africa,2017,90000,Childern (0-19),New HIV infections
166,Latin America,2017,3600,Childern (0-19),New HIV infections
167,Middle East and North Africa,2017,1400,Childern (0-19),New HIV infections
168,West and Central Africa,2017,53000,Childern (0-19),New HIV infections
170,Global,2017,170000,Childern (0-19),New HIV infections
171,Asia and the Pacific,2018,16000,Childern (0-19),New HIV infections
172,Caribbean,2018,1000,Childern (0-19),New HIV infections
173,East and Southern Africa,2018,79000,Childern (0-19),New HIV infections
175,Latin America,2018,3500,Childern (0-19),New HIV infections
176,Middle East and North Africa,2018,1400,Childern (0-19),New HIV infections
177,West and Central Africa,2018,54000,Childern (0-19),New HIV infections
179,Global,2018,160000,Childern (0-19),New HIV infections
180,Asia and the Pacific,2019,15000,Childern (0-19),New HIV infections
181,Caribbean,2019,999,Childern (0-19),New HIV infections
182,East and Southern Africa,2019,74000,Childern (0-19),New HIV infections
184,Latin America,2019,3400,Childern (0-19),New HIV infections
185,Middle East and North Africa,2019,1400,Childern (0-19),New HIV infections
186,West and Central Africa,2019,52000,Childern (0-19),New HIV infections
188,Global,2019,150000,Childern (0-19),New HIV infections
